danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.699,0.869,8,-5.212,1,0.0374,0.101,0.21,0.0767,0.252,124.003,audio_features,0QZdbOtajbimysXPJDkU3H,spotify:track:0QZdbOtajbimysXPJDkU3H,https://api.spotify.com/v1/tracks/0QZdbOtajbimysXPJDkU3H,https://api.spotify.com/v1/audio-analysis/0QZdbOtajbimysXPJDkU3H,180991,4
0.752,0.781,6,-5.636,0,0.0769,0.00505,1.69e-05,0.163,0.371,125.929,audio_features,60BTRjzBJpDUpmlC7NgtBw,spotify:track:60BTRjzBJpDUpmlC7NgtBw,https://api.spotify.com/v1/tracks/60BTRjzBJpDUpmlC7NgtBw,https://api.spotify.com/v1/audio-analysis/60BTRjzBJpDUpmlC7NgtBw,184762,4
0.84,0.446,10,-6.124,0,0.0447,0.0132,0.0042,0.0691,0.773,125.874,audio_features,0CjMGHOkONxI7VjI9mGlBx,spotify:track:0CjMGHOkONxI7VjI9mGlBx,https://api.spotify.com/v1/tracks/0CjMGHOkONxI7VjI9mGlBx,https://api.spotify.com/v1/audio-analysis/0CjMGHOkONxI7VjI9mGlBx,238631,4
0.857,0.489,3,-10.133,0,0.0874,0.00679,0.155,0.0778,0.388,126.488,audio_features,0ptdgiV3SyRkJqWFwJsEIW,spotify:track:0ptdgiV3SyRkJqWFwJsEIW,https://api.spotify.com/v1/tracks/0ptdgiV3SyRkJqWFwJsEIW,https://api.spotify.com/v1/audio-analysis/0ptdgiV3SyRkJqWFwJsEIW,504000,4
0.738,0.686,11,-9.046,0,0.0375,0.117,0.429,0.0425,0.567,126.008,audio_features,7xyhKf5o0I0RLGw1vO87xx,spotify:track:7xyhKf5o0I0RLGw1vO87xx,https://api.spotify.com/v1/tracks/7xyhKf5o0I0RLGw1vO87xx,https://api.spotify.com/v1/audio-analysis/7xyhKf5o0I0RLGw1vO87xx,476184,4
0.738,0.931,0,-6.662,1,0.06,0.00108,0.446,0.39,0.734,127.991,audio_features,104VHXv4sBUMJxMAGiYLM4,spotify:track:104VHXv4sBUMJxMAGiYLM4,https://api.spotify.com/v1/tracks/104VHXv4sBUMJxMAGiYLM4,https://api.spotify.com/v1/audio-analysis/104VHXv4sBUMJxMAGiYLM4,428906,4
0.89,0.434,1,-5.693,0,0.0637,0.0408,0.0041,0.134,0.472,123.009,audio_features,3hV93pqrIQHXZNJ38wfTRx,spotify:track:3hV93pqrIQHXZNJ38wfTRx,https://api.spotify.com/v1/tracks/3hV93pqrIQHXZNJ38wfTRx,https://api.spotify.com/v1/audio-analysis/3hV93pqrIQHXZNJ38wfTRx,228694,4
0.814,0.723,3,-8.744,1,0.0597,0.000442,0.567,0.0577,0.63,125.04,audio_features,3K0dKHbnmJ51kl8pgi0fBa,spotify:track:3K0dKHbnmJ51kl8pgi0fBa,https://api.spotify.com/v1/tracks/3K0dKHbnmJ51kl8pgi0fBa,https://api.spotify.com/v1/audio-analysis/3K0dKHbnmJ51kl8pgi0fBa,361210,4
0.67,0.821,11,-7.368,1,0.0321,0.00196,9.92e-05,0.111,0.624,130.0,audio_features,3apzzlI8X2DMpXLIpgNNgD,spotify:track:3apzzlI8X2DMpXLIpgNNgD,https://api.spotify.com/v1/tracks/3apzzlI8X2DMpXLIpgNNgD,https://api.spotify.com/v1/audio-analysis/3apzzlI8X2DMpXLIpgNNgD,238621,4
0.878,0.519,9,-5.142,0,0.147,0.00219,0.0129,0.0651,0.718,127.97,audio_features,1yIVlAMx4cXqKBHBNd7e6N,spotify:track:1yIVlAMx4cXqKBHBNd7e6N,https://api.spotify.com/v1/tracks/1yIVlAMx4cXqKBHBNd7e6N,https://api.spotify.com/v1/audio-analysis/1yIVlAMx4cXqKBHBNd7e6N,331000,4
